,question,mean,median,std,max,min
0,graduation rate,89.57195599022005,91.2,7.868756116723215,100.0,46.5
1,student population,915.1678832116788,445,1151.7294891151594,7262,11
2,spending,98466714.85819072,47792883,131825747.66125949,1247830392,1030935
3,spending per student,129582.9129407241,123182.09090909091,97893.2997610525,1533532.35,7991.7441860465115
